Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 16,777,216
  lm_head                 : 2,097,152
  transformer_matrices    : 20,972,544
  scalars                 : 16
  total                   : 41,944,080
Estimated FLOPs per token: 2.390815e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 8.318209 | lrm: 1.00 | dt: 2464ms | tok/sec: 53,195 | mfu: 1.3% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.231160 | lrm: 1.00 | dt: 242ms | tok/sec: 541,170 | mfu: 13.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 7.849988 | lrm: 1.00 | dt: 243ms | tok/sec: 539,636 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.442455 | lrm: 1.00 | dt: 242ms | tok/sec: 540,626 | mfu: 13.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.087637 | lrm: 1.00 | dt: 243ms | tok/sec: 540,403 | mfu: 13.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 6.810007 | lrm: 1.00 | dt: 243ms | tok/sec: 540,233 | mfu: 13.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.582871 | lrm: 1.00 | dt: 243ms | tok/sec: 539,682 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.391219 | lrm: 1.00 | dt: 243ms | tok/sec: 539,616 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.233675 | lrm: 1.00 | dt: 243ms | tok/sec: 539,325 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.104835 | lrm: 1.00 | dt: 243ms | tok/sec: 539,512 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 5.994543 | lrm: 1.00 | dt: 243ms | tok/sec: 538,689 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 5.893351 | lrm: 1.00 | dt: 243ms | tok/sec: 538,786 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 5.806953 | lrm: 1.00 | dt: 243ms | tok/sec: 539,113 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00013 (0.2%) | loss: 5.731880 | lrm: 1.00 | dt: 243ms | tok/sec: 538,836 | mfu: 13.0% | epoch: 1 | remaining: 299s    
step 00031 (1.6%) | loss: 5.096135 | lrm: 1.00 | dt: 243ms | tok/sec: 538,455 | mfu: 13.0% | epoch: 1 | remaining: 295s    
step 00032 (1.7%) | loss: 5.070873 | lrm: 1.00 | dt: 243ms | tok/sec: 538,664 | mfu: 13.0% | epoch: 1 | remaining: 295s    
step 00033 (1.8%) | loss: 5.046122 | lrm: 1.00 | dt: 243ms | tok/sec: 538,905 | mfu: 13.0% | epoch: 1 | remaining: 294s    
step 00034 (1.9%) | loss: 5.021200 | lrm: 1.00 | dt: 243ms | tok/sec: 538,662 | mfu: 13.0% | epoch: 1 | remaining: 294s    
step 00035 (1.9%) | loss: 4.994855 | lrm: 1.00 | dt: 243ms | tok/sec: 538,535 | mfu: 13.0% | epoch: 1 | remaining: 294s    
step 00036 (2.0%) | loss: 4.971447 | lrm: 1.00 | dt: 243ms | tok/sec: 538,476 | mfu: 13.0% | epoch: 1 | remaining: 294s    
step 00037 (2.1%) | loss: 4.950495 | lrm: 1.00 | dt: 243ms | tok/sec: 538,449 | mfu: 13.0% | epoch: 1 | remaining: 293s    
step 00038 (2.2%) | loss: 4.924369 | lrm: 1.00 | dt: 243ms | tok/sec: 538,652 | mfu: 13.0% | epoch: 1 | remaining: 293s    
step 00039 (2.3%) | loss: 4.900859 | lrm: 1.00 | dt: 243ms | tok/sec: 538,590 | mfu: 13.0% | epoch: 1 | remaining: 293s    
step 00040 (2.4%) | loss: 4.878437 | lrm: 1.00 | dt: 243ms | tok/sec: 538,779 | mfu: 13.0% | epoch: 1 | remaining: 293s    
step 00041 (2.4%) | loss: 4.853021 | lrm: 1.00 | dt: 243ms | tok/sec: 538,691 | mfu: 13.0% | epoch: 1 | remaining: 292s    
step 00042 (2.5%) | loss: 4.828263 | lrm: 1.00 | dt: 243ms | tok/sec: 538,630 | mfu: 13.0% | epoch: 1 | remaining: 292s    
step 00043 (2.6%) | loss: 4.799956 | lrm: 1.00 | dt: 243ms | tok/sec: 538,321 | mfu: 13.0% | epoch: 1 | remaining: 292s    
step 00044 (2.7%) | loss: 4.777895 | lrm: 1.00 | dt: 243ms | tok/sec: 538,465 | mfu: 13.0% | epoch: 1 | remaining: 292s    
step 00045 (2.8%) | loss: 4.754063 | lrm: 1.00 | dt: 243ms | tok/sec: 538,776 | mfu: 13.0% | epoch: 1 | remaining: 291s    
step 00046 (2.8%) | loss: 4.733599 | lrm: 1.00 | dt: 243ms | tok/sec: 538,624 | mfu: 13.0% | epoch: 1 | remaining: 291s    
step 00047 (2.9%) | loss: 4.709674 | lrm: 1.00 | dt: 243ms | tok/sec: 538,451 | mfu: 13.0% | epoch: 1 | remaining: 291s    
step 00048 (3.0%) | loss: 4.685056 | lrm: 1.00 | dt: 243ms | tok/sec: 538,443 | mfu: 13.0% | epoch: 1 | remaining: 291s    
step 00049 (3.1%) | loss: 4.667253 | lrm: 1.00 | dt: 243ms | tok/sec: 538,331 | mfu: 13.0% | epoch: 1 | remaining: 291s    
step 00050 (3.2%) | loss: 4.647007 | lrm: 1.00 | dt: 243ms | tok/sec: 538,724 | mfu: 13.0% | epoch: 1 | remaining: 290s    
step 00051 (3.2%) | loss: 4.624437 | lrm: 1.00 | dt: 243ms | tok/sec: 538,589 | mfu: 13.0% | epoch: 1 | remaining: 290s    
step 00052 (3.3%) | loss: 4.604540 | lrm: 1.00 | dt: 243ms | tok/sec: 538,638 | mfu: 13.0% | epoch: 1 | remaining: 290s    
step 00053 (3.4%) | loss: 4.583117 | lrm: 1.00 | dt: 243ms | tok/sec: 538,467 | mfu: 13.0% | epoch: 1 | remaining: 290s    
step 00054 (3.5%) | loss: 4.565112 | lrm: 1.00 | dt: 243ms | tok/sec: 538,397 | mfu: 13.0% | epoch: 1 | remaining: 289s    
step 00055 (3.6%) | loss: 4.542371 | lrm: 1.00 | dt: 243ms | tok/sec: 538,364 | mfu: 13.0% | epoch: 1 | remaining: 289s    
step 00056 (3.7%) | loss: 4.521160 | lrm: 1.00 | dt: 243ms | tok/sec: 538,926 | mfu: 13.0% | epoch: 1 | remaining: 289s    
step 00057 (3.7%) | loss: 4.497240 | lrm: 1.00 | dt: 243ms | tok/sec: 538,405 | mfu: 13.0% | epoch: 1 | remaining: 289s    
step 00058 (3.8%) | loss: 4.474612 | lrm: 1.00 | dt: 243ms | tok/sec: 538,284 | mfu: 13.0% | epoch: 1 | remaining: 288s    
step 00059 (3.9%) | loss: 4.454517 | lrm: 1.00 | dt: 244ms | tok/sec: 537,894 | mfu: 13.0% | epoch: 1 | remaining: 288s    
step 00060 (4.0%) | loss: 4.431830 | lrm: 1.00 | dt: 244ms | tok/sec: 538,081 | mfu: 13.0% | epoch: 1 | remaining: 288s    
step 00061 (4.1%) | loss: 4.406999 | lrm: 1.00 | dt: 243ms | tok/sec: 538,287 | mfu: 13.0% | epoch: 1 | remaining: 288s    
step 00062 (4.1%) | loss: 4.388785 | lrm: 1.00 | dt: 243ms | tok/sec: 538,441 | mfu: 13.0% | epoch: 1 | remaining: 287s    
step 00063 (4.2%) | loss: 4.368545 | lrm: 1.00 | dt: 244ms | tok/sec: 538,076 | mfu: 13.0% | epoch: 1 | remaining: 287s    
step 00064 (4.3%) | loss: 4.350293 | lrm: 1.00 | dt: 244ms | tok/sec: 537,820 | mfu: 13.0% | epoch: 1 | remaining: 287s    
step 00065 (4.4%) | loss: 4.326207 | lrm: 1.00 | dt: 244ms | tok/sec: 537,584 | mfu: 13.0% | epoch: 1 | remaining: 287s    
step 00066 (4.5%) | loss: 4.305996 | lrm: 1.00 | dt: 244ms | tok/sec: 538,032 | mfu: 13.0% | epoch: 1 | remaining: 286s    
step 00067 (4.5%) | loss: 4.282102 | lrm: 1.00 | dt: 244ms | tok/sec: 538,186 | mfu: 13.0% | epoch: 1 | remaining: 286s    
step 00068 (4.6%) | loss: 4.261244 | lrm: 1.00 | dt: 243ms | tok/sec: 538,413 | mfu: 13.0% | epoch: 1 | remaining: 286s    
step 00069 (4.7%) | loss: 4.243585 | lrm: 1.00 | dt: 244ms | tok/sec: 538,086 | mfu: 13.0% | epoch: 1 | remaining: 286s    
step 00070 (4.8%) | loss: 4.227101 | lrm: 1.00 | dt: 244ms | tok/sec: 538,216 | mfu: 13.0% | epoch: 1 | remaining: 285s    
step 00071 (4.9%) | loss: 4.211397 | lrm: 1.00 | dt: 244ms | tok/sec: 538,017 | mfu: 13.0% | epoch: 1 | remaining: 285s    
step 00072 (4.9%) | loss: 4.187447 | lrm: 1.00 | dt: 243ms | tok/sec: 538,360 | mfu: 13.0% | epoch: 1 | remaining: 285s    
step 00073 (5.0%) | loss: 4.166753 | lrm: 1.00 | dt: 244ms | tok/sec: 537,973 | mfu: 13.0% | epoch: 1 | remaining: 285s    
step 00074 (5.1%) | loss: 4.152655 | lrm: 1.00 | dt: 243ms | tok/sec: 538,296 | mfu: 13.0% | epoch: 1 | remaining: 284s    
step 00075 (5.2%) | loss: 4.132352 | lrm: 1.00 | dt: 244ms | tok/sec: 537,979 | mfu: 13.0% | epoch: 1 | remaining: 284s    
step 00076 (5.3%) | loss: 4.113123 | lrm: 1.00 | dt: 244ms | tok/sec: 537,602 | mfu: 13.0% | epoch: 1 | remaining: 284s    
step 00077 (5.4%) | loss: 4.097949 | lrm: 1.00 | dt: 244ms | tok/sec: 538,259 | mfu: 13.0% | epoch: 1 | remaining: 284s    
step 00078 (5.4%) | loss: 4.078476 | lrm: 1.00 | dt: 243ms | tok/sec: 538,469 | mfu: 13.0% | epoch: 1 | remaining: 283s    
step 00079 (5.5%) | loss: 4.059913 | lrm: 1.00 | dt: 244ms | tok/sec: 538,254 | mfu: 13.0% | epoch: 1 | remaining: 283s    
step 00080 (5.6%) | loss: 4.040352 | lrm: 1.00 | dt: 244ms | tok/sec: 537,984 | mfu: 13.0% | epoch: 1 | remaining: 283s    
step 00081 (5.7%) | loss: 4.027680 | lrm: 1.00 | dt: 244ms | tok/sec: 538,141 | mfu: 13.0% | epoch: 1 | remaining: 283s    
step 00082 (5.8%) | loss: 4.014326 | lrm: 1.00 | dt: 244ms | tok/sec: 538,134 | mfu: 13.0% | epoch: 1 | remaining: 282s    
step 00083 (5.8%) | loss: 3.999256 | lrm: 1.00 | dt: 244ms | tok/sec: 538,247 | mfu: 13.0% | epoch: 1 | remaining: 282s    
step 00084 (5.9%) | loss: 3.980874 | lrm: 1.00 | dt: 244ms | tok/sec: 538,011 | mfu: 13.0% | epoch: 1 | remaining: 282s    
step 00085 (6.0%) | loss: 3.963531 | lrm: 1.00 | dt: 244ms | tok/sec: 538,264 | mfu: 13.0% | epoch: 1 | remaining: 282s    
step 00086 (6.1%) | loss: 3.945760 | lrm: 1.00 | dt: 244ms | tok/sec: 537,987 | mfu: 13.0% | epoch: 1 | remaining: 281s    
step 00087 (6.2%) | loss: 3.935053 | lrm: 1.00 | dt: 244ms | tok/sec: 537,921 | mfu: 13.0% | epoch: 1 | remaining: 281s    
step 00088 (6.2%) | loss: 3.919676 | lrm: 1.00 | dt: 244ms | tok/sec: 537,623 | mfu: 13.0% | epoch: 1 | remaining: 281s    
step 00089 (6.3%) | loss: 3.907755 | lrm: 1.00 | dt: 244ms | tok/sec: 537,997 | mfu: 13.0% | epoch: 1 | remaining: 281s    
step 00090 (6.4%) | loss: 3.891478 | lrm: 1.00 | dt: 244ms | tok/sec: 537,807 | mfu: 13.0% | epoch: 1 | remaining: 281s    
step 00091 (6.5%) | loss: 3.876646 | lrm: 1.00 | dt: 244ms | tok/sec: 537,867 | mfu: 13.0% | epoch: 1 | remaining: 280s    
step 00092 (6.6%) | loss: 3.862568 | lrm: 1.00 | dt: 244ms | tok/sec: 537,411 | mfu: 13.0% | epoch: 1 | remaining: 280s    
step 00093 (6.7%) | loss: 3.852977 | lrm: 1.00 | dt: 244ms | tok/sec: 538,134 | mfu: 13.0% | epoch: 1 | remaining: 280s    
step 00094 (6.7%) | loss: 3.842760 | lrm: 1.00 | dt: 243ms | tok/sec: 538,473 | mfu: 13.0% | epoch: 1 | remaining: 280s    
step 00095 (6.8%) | loss: 3.833608 | lrm: 1.00 | dt: 244ms | tok/sec: 537,904 | mfu: 13.0% | epoch: 1 | remaining: 279s    
step 00096 (6.9%) | loss: 3.817878 | lrm: 1.00 | dt: 244ms | tok/sec: 537,938 | mfu: 13.0% | epoch: 1 | remaining: 279s    
step 00097 (7.0%) | loss: 3.807528 | lrm: 1.00 | dt: 244ms | tok/sec: 538,023 | mfu: 13.0% | epoch: 1 | remaining: 279s    
step 00098 (7.1%) | loss: 3.790343 | lrm: 1.00 | dt: 244ms | tok/sec: 537,845 | mfu: 13.0% | epoch: 1 | remaining: 279s    
step 00099 (7.1%) | loss: 3.776442 | lrm: 1.00 | dt: 244ms | tok/sec: 538,006 | mfu: 13.0% | epoch: 1 | remaining: 278s    
step 00100 (7.2%) | loss: 3.761753 | lrm: 1.00 | dt: 244ms | tok/sec: 537,817 | mfu: 13.0% | epoch: 1 | remaining: 278s    
step 00101 (7.3%) | loss: 3.757567 | lrm: 1.00 | dt: 244ms | tok/sec: 537,690 | mfu: 13.0% | epoch: 1 | remaining: 278s    
step 00102 (7.4%) | loss: 3.749823 | lrm: 1.00 | dt: 244ms | tok/sec: 537,552 | mfu: 13.0% | epoch: 1 | remaining: 278s    
step 00103 (7.5%) | loss: 3.735072 | lrm: 1.00 | dt: 244ms | tok/sec: 537,402 | mfu: 13.0% | epoch: 1 | remaining: 277s    
step 00104 (7.5%) | loss: 3.721145 | lrm: 1.00 | dt: 244ms | tok/sec: 537,759 | mfu: 13.0% | epoch: 1 | remaining: 277s    
step 00105 (7.6%) | loss: 3.702900 | lrm: 1.00 | dt: 244ms | tok/sec: 537,887 | mfu: 13.0% | epoch: 1 | remaining: 277s    
step 00106 (7.7%) | loss: 3.694287 | lrm: 1.00 | dt: 244ms | tok/sec: 538,094 | mfu: 13.0% | epoch: 1 | remaining: 277s    
step 00107 (7.8%) | loss: 3.681701 | lrm: 1.00 | dt: 244ms | tok/sec: 537,672 | mfu: 13.0% | epoch: 1 | remaining: 276s    
step 00108 (7.9%) | loss: 3.674840 | lrm: 1.00 | dt: 244ms | tok/sec: 537,845 | mfu: 13.0% | epoch: 1 | remaining: 276s    
step 00109 (8.0%) | loss: 3.663351 | lrm: 1.00 | dt: 244ms | tok/sec: 538,067 | mfu: 13.0% | epoch: 1 | remaining: 276s    
step 00110 (8.0%) | loss: 3.651120 | lrm: 1.00 | dt: 243ms | tok/sec: 538,346 | mfu: 13.0% | epoch: 1 | remaining: 276s    
step 00111 (8.1%) | loss: 3.639983 | lrm: 1.00 | dt: 244ms | tok/sec: 538,060 | mfu: 13.0% | epoch: 1 | remaining: 275s    
step 00112 (8.2%) | loss: 3.644952 | lrm: 1.00 | dt: 244ms | tok/sec: 537,701 | mfu: 13.0% | epoch: 1 | remaining: 275s    
step 00113 (8.3%) | loss: 3.639738 | lrm: 1.00 | dt: 244ms | tok/sec: 537,325 | mfu: 13.0% | epoch: 1 | remaining: 275s    
step 00114 (8.4%) | loss: 3.624125 | lrm: 1.00 | dt: 244ms | tok/sec: 537,902 | mfu: 13.0% | epoch: 1 | remaining: 275s    
step 00115 (8.4%) | loss: 3.621333 | lrm: 1.00 | dt: 244ms | tok/sec: 538,231 | mfu: 13.0% | epoch: 1 | remaining: 274s    
step 00116 (8.5%) | loss: 3.610311 | lrm: 1.00 | dt: 244ms | tok/sec: 537,833 | mfu: 13.0% | epoch: 1 | remaining: 274s    
step 00117 (8.6%) | loss: 3.605057 | lrm: 1.00 | dt: 244ms | tok/sec: 537,604 | mfu: 13.0% | epoch: 1 | remaining: 274s    
step 00118 (8.7%) | loss: 3.592686 | lrm: 1.00 | dt: 244ms | tok/sec: 537,462 | mfu: 13.0% | epoch: 1 | remaining: 274s    
step 00119 (8.8%) | loss: 3.588212 | lrm: 1.00 | dt: 244ms | tok/sec: 537,464 | mfu: 13.0% | epoch: 1 | remaining: 273s    
step 00120 (8.8%) | loss: 3.582877 | lrm: 1.00 | dt: 244ms | tok/sec: 537,784 | mfu: 13.0% | epoch: 1 | remaining: 273s    
step 00121 (8.9%) | loss: 3.572023 | lrm: 1.00 | dt: 244ms | tok/sec: 537,630 | mfu: 13.0% | epoch: 1 | remaining: 273s    
step 00122 (9.0%) | loss: 3.561606 | lrm: 1.00 | dt: 244ms | tok/sec: 537,470 | mfu: 13.0% | epoch: 1 | remaining: 273s    
step 00123 (9.1%) | loss: 3.553963 | lrm: 1.00 | dt: 244ms | tok/sec: 537,403 | mfu: 13.0% | epoch: 1 | remaining: 272s    
step 00124 (9.2%) | loss: 3.559031 | lrm: 1.00 | dt: 244ms | tok/sec: 537,521 | mfu: 13.0% | epoch: 1 | remaining: 272s    
step 00125 (9.3%) | loss: 3.556045 | lrm: 1.00 | dt: 244ms | tok/sec: 537,735 | mfu: 13.0% | epoch: 1 | remaining: 272s    
step 00126 (9.3%) | loss: 3.550083 | lrm: 1.00 | dt: 244ms | tok/sec: 537,581 | mfu: 13.0% | epoch: 1 | remaining: 272s    
step 00127 (9.4%) | loss: 3.539246 | lrm: 1.00 | dt: 244ms | tok/sec: 537,702 | mfu: 13.0% | epoch: 1 | remaining: 272s    
step 00128 (9.5%) | loss: 3.532333 | lrm: 1.00 | dt: 244ms | tok/sec: 537,639 | mfu: 13.0% | epoch: 1 | remaining: 271s    
step 00129 (9.6%) | loss: 3.532182 | lrm: 1.00 | dt: 244ms | tok/sec: 537,333 | mfu: 13.0% | epoch: 1 | remaining: 271s    
step 00130 (9.7%) | loss: 3.530616 | lrm: 1.00 | dt: 244ms | tok/sec: 538,034 | mfu: 13.0% | epoch: 1 | remaining: 271s    
step 00131 (9.7%) | loss: 3.522441 | lrm: 1.00 | dt: 244ms | tok/sec: 538,147 | mfu: 13.0% | epoch: 1 | remaining: 271s    
step 00132 (9.8%) | loss: 3.515958 | lrm: 1.00 | dt: 244ms | tok/sec: 537,982 | mfu: 13.0% | epoch: 1 | remaining: 270s    
step 00133 (9.9%) | loss: 3.510453 | lrm: 1.00 | dt: 244ms | tok/sec: 537,689 | mfu: 13.0% | epoch: 1 | remaining: 270s    
step 00134 (10.0%) | loss: 3.506883 | lrm: 1.00 | dt: 244ms | tok/sec: 537,975 | mfu: 13.0% | epoch: 1 | remaining: 270s    
step 00135 (10.1%) | loss: 3.503861 | lrm: 1.00 | dt: 244ms | tok/sec: 537,731 | mfu: 13.0% | epoch: 1 | remaining: 270s    
step 00136 (10.1%) | loss: 3.493496 | lrm: 1.00 | dt: 244ms | tok/sec: 537,609 | mfu: 13.0% | epoch: 1 | remaining: 269s    
step 00137 (10.2%) | loss: 3.497463 | lrm: 1.00 | dt: 244ms | tok/sec: 537,296 | mfu: 13.0% | epoch: 1 | remaining: 269s    
step 00138 (10.3%) | loss: 3.490178 | lrm: 1.00 | dt: 244ms | tok/sec: 537,848 | mfu: 13.0% | epoch: 1 | remaining: 269s    
step 00139 (10.4%) | loss: 3.488593 | lrm: 1.00 | dt: 244ms | tok/sec: 537,912 | mfu: 13.0% | epoch: 1 | remaining: 269s    
step 00140 (10.5%) | loss: 3.481564 | lrm: 1.00 | dt: 244ms | tok/sec: 537,949 | mfu: 13.0% | epoch: 1 | remaining: 268s    
step 00141 (10.6%) | loss: 3.471487 | lrm: 1.00 | dt: 244ms | tok/sec: 537,322 | mfu: 13.0% | epoch: 1 | remaining: 268s    
step 00142 (10.6%) | loss: 3.468190 | lrm: 1.00 | dt: 244ms | tok/sec: 537,369 | mfu: 13.0% | epoch: 1 | remaining: 268s    
step 00143 (10.7%) | loss: 3.468753 | lrm: 1.00 | dt: 244ms | tok/sec: 537,669 | mfu: 13.0% | epoch: 1 | remaining: 268s    
step 00144 (10.8%) | loss: 3.467841 | lrm: 1.00 | dt: 244ms | tok/sec: 537,740 | mfu: 13.0% | epoch: 1 | remaining: 267s    
step 00145 (10.9%) | loss: 3.454818 | lrm: 1.00 | dt: 244ms | tok/sec: 537,611 | mfu: 13.0% | epoch: 1 | remaining: 267s    
step 00146 (11.0%) | loss: 3.449823 | lrm: 1.00 | dt: 244ms | tok/sec: 537,631 | mfu: 13.0% | epoch: 1 | remaining: 267s    
step 00147 (11.0%) | loss: 3.446086 | lrm: 1.00 | dt: 244ms | tok/sec: 537,488 | mfu: 13.0% | epoch: 1 | remaining: 267s    
step 00148 (11.1%) | loss: 3.443690 | lrm: 1.00 | dt: 244ms | tok/sec: 537,856 | mfu: 13.0% | epoch: 1 | remaining: 266s    
step 00149 (11.2%) | loss: 3.439443 | lrm: 1.00 | dt: 244ms | tok/sec: 538,068 | mfu: 13.0% | epoch: 1 | remaining: 266s    
step 00150 (11.3%) | loss: 3.435315 | lrm: 1.00 | dt: 244ms | tok/sec: 537,400 | mfu: 13.0% | epoch: 1 | remaining: 266s    
step 00151 (11.4%) | loss: 3.433232 | lrm: 1.00 | dt: 244ms | tok/sec: 536,461 | mfu: 13.0% | epoch: 1 | remaining: 266s    
step 00152 (11.4%) | loss: 3.428081 | lrm: 1.00 | dt: 244ms | tok/sec: 536,200 | mfu: 13.0% | epoch: 1 | remaining: 265s    
step 00153 (11.5%) | loss: 3.429310 | lrm: 1.00 | dt: 244ms | tok/sec: 536,404 | mfu: 13.0% | epoch: 1 | remaining: 265s    
step 00154 (11.6%) | loss: 3.418381 | lrm: 1.00 | dt: 244ms | tok/sec: 536,434 | mfu: 13.0% | epoch: 1 | remaining: 265s    
step 00155 (11.7%) | loss: 3.420970 | lrm: 1.00 | dt: 244ms | tok/sec: 536,491 | mfu: 13.0% | epoch: 1 | remaining: 265s    
step 00156 (11.8%) | loss: 3.412547 | lrm: 1.00 | dt: 244ms | tok/sec: 536,437 | mfu: 13.0% | epoch: 1 | remaining: 264s    
